物料名称,货号,规格,采购次数,历史均价,最低价,最高价,价差,有价差,价差异常原因,最近供应商,最近采购日期,最近单价
培养瓶75m²,C0N-430641,5个/包,1,39.45,39.45,39.45,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2025-12-02,39.45
培养瓶175m²,C0N-431080,5个/包,1,77.35,77.35,77.35,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2025-12-02,77.35
包扎带,无,无,1,3.75,3.75,3.75,0.0,否,,京东,2025-08-12,3.75
自喷漆,无,无,1,6.8,6.8,6.8,0.0,否,,,2025-08-12,6.8
NK细胞无血清培养基（2.0）,CT-001-4,,1,500.0,500.0,500.0,0.0,否,,,2026-03-26,500.0
NK-v,CT-001-5,,1,59.0,59.0,59.0,0.0,否,,,2026-03-26,59.0
NK细胞无血清细胞冻存液,RC-070,,1,900.0,900.0,900.0,0.0,否,,,2026-03-26,900.0
人NK细胞高效扩增试剂盒（套装）（2.0）,CT-001,,1,3400.0,3400.0,3400.0,0.0,否,,,2026-03-26,3400.0
25ml移液管,CON-4489,25个/包，8包/箱,1,45.15,45.15,45.15,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2025-10-14,45.15
Human HGF ELISA Kit,PH385,,1,3198.0,3198.0,3198.0,0.0,否,,碧云天,2025-11-25,3198.0
康卫仕 一次性使用真空采血管 蓝色PET塑料枸橼酸钠1:9（10ml）100支/盒,100112134021,10ml 100支,1,92.8,92.8,92.8,0.0,否,,京东,2026-03-26,92.8
转移袋(Tr)200,Tr-200,200个/箱,1,3200.0,3200.0,3200.0,0.0,否,,武汉桐康生物科技有限公司,2025-07-29,3200.0
PE anti-human CD184 (CXCR4) Antibody,306505,25T,1,1103.0,1103.0,1103.0,0.0,否,,达科为,2025-12-11,1103.0
皮质沙发清洁,无,无,1,99.0,99.0,99.0,0.0,否,,,2026-03-31,99.0
抽纸,无,无,1,66.8,66.8,66.8,0.0,否,,,2026-03-31,66.8
一次性医用无菌橡胶外科手套,1031,100只/盒,1,89.0,89.0,89.0,0.0,否,,微采甄选医疗京东自营专区,2025-10-14,89.0
一次性医用无菌橡胶外科手套,1030,100只/盒,1,89.0,89.0,89.0,0.0,否,,微采甄选医疗京东自营专区,2025-10-14,89.0
一次性医用外科口罩,M74231718ZH0401-21,200只/4盒,1,77.7,77.7,77.7,0.0,否,,振德京东自营旗舰店,2025-10-14,77.7
灯带,无,无,1,221.0,221.0,221.0,0.0,否,,京东,2025-07-09,221.0
乙酸铵,FZ-0011474-50g,,1,37.0,37.0,37.0,0.0,否,,北京建强伟业科技有限公司,2025-04-24,37.0
Human VEGF-A ELISA,ELH-VEGF-1,1 kit,1,2894.0,2894.0,2894.0,0.0,否,,北京康鑫诺生物科技有限公司,2025-10-11,2894.0
Human bFGF ELISA,ELH-bFGF-1,1 kit,1,2894.0,2894.0,2894.0,0.0,否,,北京康鑫诺生物科技有限公司,2025-10-11,2894.0
总外泌体分离试剂（从细胞培养基）,4478359,1 kit,1,3642.0,3642.0,3642.0,0.0,否,,英潍捷基（上海）贸易有限公司,2025-10-11,3642.0
RIPA 裂解和提取缓冲液,89900,100ml,1,641.0,641.0,641.0,0.0,否,,英潍捷基（上海）贸易有限公司,2025-10-11,641.0
细胞裂解缓冲液Ⅱ,FNN0021,100ml,1,1646.0,1646.0,1646.0,0.0,否,,英潍捷基（上海）贸易有限公司,2025-10-11,1646.0
Halt™ 蛋白酶抑制剂混合物，无 EDTA (100X),78425,24*100μl,1,2065.0,2065.0,2065.0,0.0,否,,英潍捷基（上海）贸易有限公司,2025-10-11,2065.0
订书机,无,无,1,7.26,7.26,7.26,0.0,否,,京东,2025-07-07,7.26
文件盒,无,无,1,39.6,39.6,39.6,0.0,否,,京东,2025-07-07,39.6
计算器,无,无,1,9.34,9.34,9.34,0.0,否,,京东,2025-07-07,9.34
标签贴,无,无,1,1.62,1.62,1.62,0.0,否,,京东,2025-07-07,1.62
记事本,无,无,1,6.02,6.02,6.02,0.0,否,,京东,2025-07-07,6.02
回形针,无,无,1,11.9,11.9,11.9,0.0,否,,京东,2025-07-07,11.9
无菌超细纤维无尘布,5007A09,100片/包,1,70.0,70.0,70.0,0.0,否,,上海思而净洁净科技有限公司,2025-12-01,70.0
琼脂糖凝胶电泳用加样蛋白上样枪头,1152469,96支/盒,1,44.0,44.0,44.0,0.0,否,,淘宝,2025-08-11,44.0
按动笔芯,无,无,1,14.02,14.02,14.02,0.0,否,,京东,2025-06-19,14.02
凤尾夹（50mm）,无,无,1,6.41,6.41,6.41,0.0,否,,京东,2025-06-19,6.41
文件夹,无,无,1,43.64,43.64,43.64,0.0,否,,京东,2025-06-19,43.64
剪刀,无,无,1,8.28,8.28,8.28,0.0,否,,京东,2025-06-19,8.28
EB病毒衣壳抗原IgM抗体检测试剂盒,24032904,20人份/盒,1,169.0,169.0,169.0,0.0,否,,京东,2025-08-07,169.0
巨细胞病毒IgM抗体检测试剂盒,N/A,25人份/盒,1,344.0,344.0,344.0,0.0,否,,京东,2025-08-07,344.0
甲型肝炎病毒IgM抗体检测试剂盒,N/A,20人份/盒,1,140.0,140.0,140.0,0.0,否,,京东,2025-08-07,140.0
胶带,无,无,1,21.9,21.9,21.9,0.0,否,,京东,2025-05-19,21.9
彩色墨粉,无,无,1,583.2,583.2,583.2,0.0,否,,京东,2025-05-19,583.2
CD3单克隆抗体,GMP-TL101-0500,500μg/支,1,700.0,700.0,700.0,0.0,否,,北京安杰诺科技有限公司,2026-01-26,700.0
75%医用酒精消毒棉球,3754961,90粒/瓶,1,8.51,8.51,8.51,0.0,否,,京东,2026-02-26,8.51
医疗垃圾袋,100208859929,90cm*100cm(50个/包）,1,36.99,36.99,36.99,0.0,否,,京东,2026-02-26,36.99
蒸馏水,1044728,4.5L*4桶/箱,1,46.24,46.24,46.24,0.0,否,,京东,2026-02-26,46.24
一次性使用灭菌橡胶外科手套7.5号,100078560377,2只/袋50袋/盒,1,93.15,93.15,93.15,0.0,否,,京东,2026-02-26,93.15
一次性使用灭菌橡胶外科手套7.0号,10082164616,2只/袋50袋/盒,1,93.15,93.15,93.15,0.0,否,,京东,2026-02-26,93.15
50ml注射器,100053424679,10支/包,1,20.1,20.1,20.1,0.0,否,,京东,2026-02-26,20.1
医用外科口罩,100040934103,50只/盒，4盒/包,1,79.2,79.2,79.2,0.0,否,,京东,2026-02-26,79.2
抗人CD28单克隆抗体,GMP-TL102-0500,,1,700.0,700.0,700.0,0.0,否,,同立海源,2025-12-16,700.0
抗人CD3单克隆抗体,GMP-TL101-0500,,1,700.0,700.0,700.0,0.0,否,,同立海源,2025-12-16,700.0
抗体激活剂,10970,2ml/支,1,1500.0,1500.0,1500.0,0.0,否,,北京麦格珀尔生物科技有限公司,2025-10-22,1500.0
CTS Optimizer T细胞扩增培养基,A37040-01,1000ml/瓶,1,2275.5,2275.5,2275.5,0.0,否,,赛默飞,2025-10-31,2275.5
为度 CD3-PE,S0008,100T,1,384.0,384.0,384.0,0.0,否,,苏州为度生物技术有限公司天津分公司,2025-02-26,384.0
医用75%酒精,100104529304,500ml/瓶、30瓶/箱,1,160.64,160.64,160.64,0.0,否,,京东,2026-03-17,160.64
CD3-FITC,A6072,100T,1,852.0,852.0,852.0,0.0,否,,北京旷博生物技术股份有限公司,2026-03-31,852.0
CD56-PE,A6813,100T,1,1493.0,1493.0,1493.0,0.0,否,,北京旷博生物技术股份有限公司,2026-03-31,1493.0
CD3-FITC,S0012,100T,1,371.0,371.0,371.0,0.0,否,,为度生物,2025-05-15,371.0
CD56-PE,S0182,100T,1,1493.0,1493.0,1493.0,0.0,否,,为度生物,2025-05-15,1493.0
24孔玻底培养板,801006,NA,1,50.0,50.0,50.0,0.0,否,,北京鼎盛兴创生物科技有限公司,2025-09-12,50.0
热敏纸,100009216097,57mm*50mm,1,0.92,0.92,0.92,0.0,否,,京东,2025-09-25,0.92
人血小板裂解物,EPAGMP-050,50ml/瓶,1,2207.0,2207.0,2207.0,0.0,否,,北京达科为生物技术有限公司,2026-03-24,2207.0
医用一次性防护服-180连体,TPP-SPC,,1,15.0,15.0,15.0,0.0,否,,北京钎铧科技,2025-09-26,15.0
人ApoE4重组蛋白,350-04-100UG,100微克,1,546.75,546.75,546.75,0.0,否,,英潍捷基（上海）贸易有限公司,2025-08-20,546.75
白色透明平底带盖灭菌96孔板,3610,48个,1,1793.0,1793.0,1793.0,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2025-08-20,1793.0
Thermo*Gibco,11965092,500ml/瓶,1,450.0,450.0,450.0,0.0,否,,上海华雅思创生物科技有限公司,2026-01-13,450.0
万孚艾滋病检测试纸HIV-TP梅毒-HBsAg乙肝-HCV丙肝血液检测试剂四联卡,N/A,1T,1,89.0,89.0,89.0,0.0,否,,京东,2025-07-21,89.0
万孚（Wondfo）乙肝五项 两对半 检测试纸 大小三阳 HBV抗体抗原 1盒,TM0245,1T,1,51.21,51.21,51.21,0.0,否,,京东,2025-07-21,51.21
康卫仕一次性使用真空采血管,无,10ml,1,68.5,68.5,68.5,0.0,否,,京东,2025-06-24,68.5
康卫仕一次性使用真空采血管,无,5ml,1,43.9,43.9,43.9,0.0,否,,京东,2025-06-24,43.9
一次性手套,无,无,1,449.0,449.0,449.0,0.0,否,,京东,2025-04-18,449.0
高清线,无,无,1,19.46,19.46,19.46,0.0,否,,京东,2025-04-18,19.46
A4横板凭证封面,无,50张/包,1,20.41,20.41,20.41,0.0,否,,京东,2026-03-23,20.41
CytoFLEX/DxFLEX/MoFlo即用型日常QC微球,C65719,20ml/每盒。用于流式细胞仪日常质控,1,4935.0,4935.0,4935.0,0.0,否,,北京中研华誉生物技术有限公司,2026-04-09,4935.0
投屏转换器,无,无,1,49.9,49.9,49.9,0.0,否,,京东,2025-08-21,49.9
凤尾夹,无,无,1,8.28,8.28,8.28,0.0,否,,京东,2025-08-21,8.28
白板擦,无,无,1,6.7,6.7,6.7,0.0,否,,京东,2025-08-21,6.7
尺子,无,无,1,1.47,1.47,1.47,0.0,否,,京东,2025-08-21,1.47
地面清洗,无,无,1,8.4,8.4,8.4,0.0,否,,京东,2025-08-21,8.4
标签打印机,TSC244PRO,台,1,940.0,940.0,940.0,0.0,否,,京东,2026-04-03,940.0
不干胶热敏标签打印纸,NA,6卷/包,1,29.0,29.0,29.0,0.0,否,,京东,2026-04-03,29.0
90*300蜡基碳带,NA,卷,1,26.0,26.0,26.0,0.0,否,,京东,2026-04-03,26.0
90*300树脂碳带,NA,卷,1,92.0,92.0,92.0,0.0,否,,京东,2026-04-03,92.0
工业用标准需氧培养瓶,259786,N/A,1,55.0,55.0,55.0,0.0,否,,北京万隆和科技有限公司,2025-07-23,55.0
10层细胞工厂,771302,,1,2298.0,2298.0,2298.0,0.0,否,,无锡耐思生命科技股份有限公司,2025-08-07,2298.0
控制器,无,无,1,8432.0,8432.0,8432.0,0.0,否,,京东,2025-05-15,8432.0
臭氧发生器电晕管,无,无,1,280.0,280.0,280.0,0.0,否,,京东,2025-07-30,280.0
eGFP LNP,RP-A00016-50,50微克,1,1600.0,1600.0,1600.0,0.0,否,,南京金斯瑞生物科技有限公司,2025-08-18,1600.0
办公桌组,无,无,1,1565.23,1565.23,1565.23,0.0,否,,京东,2026-05-09,1565.23
黑色小垃圾袋,无,无,1,23.2,23.2,23.2,0.0,否,,,2026-05-09,23.2
打印机黑色墨粉,无,无,1,312.25,312.25,312.25,0.0,否,,,2026-05-09,312.25
打印机感光鼓,无,无,1,322.75,322.75,322.75,0.0,否,,,2026-05-09,322.75
打印机纸盒搓纸轮,无,无,1,141.0,141.0,141.0,0.0,否,,,2026-05-09,141.0
84消毒剂,无,无,1,115.0,115.0,115.0,0.0,否,,,2026-05-09,115.0
燕尾夹,无,无,1,7.56,7.56,7.56,0.0,否,,,2026-05-09,7.56
南孚5号电池,无,无,1,25.4,25.4,25.4,0.0,否,,京东,2025-03-10,25.4
A4纸,无,"A4,500张/包  10包/箱",1,181.5,181.5,181.5,0.0,否,,京东,2025-03-10,181.5
50mm凤尾夹,无,无,1,12.8,12.8,12.8,0.0,否,,京东,2025-03-10,12.8
8#自封袋,DB-ZFD-1725,100个/包,1,16.9,16.9,16.9,0.0,否,,京东,2026-01-06,16.9
12#自封袋,DB-ZFD-3445,100个/包,1,62.9,62.9,62.9,0.0,否,,京东,2026-01-06,62.9
一次性无菌注射器,NA,10支/包,1,26.8,26.8,26.8,0.0,否,,京东,2026-01-06,26.8
独立灭菌口罩,M74231718ZH0401,50只/盒，4盒/包,1,79.2,79.2,79.2,0.0,否,,京东,2026-01-06,79.2
一次性无菌橡胶手套7.5号,1031,100只/盒,1,89.0,89.0,89.0,0.0,否,,京东,2026-01-06,89.0
一次性无菌橡胶手套7号,1030,100只/盒,1,89.0,89.0,89.0,0.0,否,,京东,2026-01-06,89.0
执法记录仪,无,无,1,284.05,284.05,284.05,0.0,否,,京东,2026-01-30,284.05
小米打印机,无,无,1,439.0,439.0,439.0,0.0,否,,,2026-01-30,439.0
宽胶带,无,无,1,28.5,28.5,28.5,0.0,否,,,2026-01-30,28.5
流式检测细胞染色缓冲液,C1711-500ml,500/瓶,1,370.0,370.0,370.0,0.0,否,,北京中研华誉生物技术有限公司,2025-12-03,370.0
受试者责任保险,,,1,9900.0,9900.0,9900.0,0.0,否,,中国太平洋财产保险股份有限公司,2026-04-10,9900.0
75%酒精,,30瓶/箱,1,162.47,162.47,162.47,0.0,否,,京东,2026-04-16,162.47
75%酒精棉球,,90粒*2瓶,1,12.86,12.86,12.86,0.0,否,,京东,2026-04-16,12.86
止血钳直头,,把,1,8.2,8.2,8.2,0.0,否,,京东,2026-04-16,8.2
止血钳弯头,,把,1,8.2,8.2,8.2,0.0,否,,京东,2026-04-16,8.2
办公剪刀,,把,1,3.4,3.4,3.4,0.0,否,,京东,2026-04-16,3.4
透明暗扣文件袋,,20个/包,1,12.2,12.2,12.2,0.0,否,,京东,2026-04-16,12.2
Steady-Glo® Luciferase Assay System,E2510,10ml,1,7520.0,7520.0,7520.0,0.0,否,,北京逸优科技有限公司,2025-09-02,7520.0
氧化钬标准液,BW5689,浓度4%  规格100ml,1,120.0,120.0,120.0,0.0,否,,泉心泉意(上海)生命科技有限公司,2025-08-04,120.0
潜水泵,无,无,1,358.2,358.2,358.2,0.0,否,,京东,2025-08-18,358.2
eGFP LNP,RP-A00016-50,50μg,1,1600.0,1600.0,1600.0,0.0,否,,南京金斯瑞生物科技有限公司,2025-09-10,1600.0
25ml移液管,CON-4489,25个/包,1,45.15,45.15,45.15,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-03-27,45.15
50ml移液管,CON-4490,25个/包,1,117.6,117.6,117.6,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-03-27,117.6
5ml移液管,CON-4487,50个/包,1,48.02,48.02,48.02,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-03-27,48.02
细胞筛,CON-431750,50个/箱,1,604.7,604.7,604.7,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-03-27,604.7
250ml离心管,TPP-Nunc-376814,40块/箱,1,465.0,465.0,465.0,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-03-27,465.0
无纺布大号鞋套,XT-01,200只,1,25.8,25.8,25.8,0.0,否,,京东,2025-07-25,25.8
NK 细胞无血清培养基,CT-001-4,1000ml/瓶,1,500.0,500.0,500.0,0.0,否,,中科易方国际健康管理（北京）有限公司,2026-05-06,500.0
NK-v,CT-001-5,100万IU,1,59.0,59.0,59.0,0.0,否,,中科易方国际健康管理（北京）有限公司,2026-05-06,59.0
NK 细胞无血清细胞冻存液,RC-070,100mL/瓶,1,900.0,900.0,900.0,0.0,否,,中科易方国际健康管理（北京）有限公司,2026-05-06,900.0
矿泉水,无,无,1,27.15,27.15,27.15,0.0,否,,京东,2025-07-21,27.15
垃圾桶,无,无,1,10.4,10.4,10.4,0.0,否,,京东,2025-07-21,10.4
垃圾袋,无,无,1,8.9,8.9,8.9,0.0,否,,京东,2025-07-21,8.9
门禁控制器,无,无,1,46.17,46.17,46.17,0.0,否,,京东,2025-06-23,46.17
